obra,titulo,autor,bloque_id,entidad,tipo,score,entidad_norm,entidad_canonica
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,La Catedral,LOC,0.9997674822807312,la catedral,La Catedral
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,Mario Vargas Llosa,PER,0.9998625914255778,mario vargas llosa,Mario Vargas Llosa
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,La Crónica,LOC,0.9999179244041443,la crónica,La Crónica
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,Santiago,PER,0.998166024684906,santiago,Santiago Zavala
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,avenida Tacna,LOC,0.9997281134128571,avenida tacna,avenida Tacna
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,Perú,LOC,0.999950647354126,perú,Perú
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,Wilson,PER,0.9970278143882751,wilson,Wilson
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,Colmena,LOC,0.9996123909950256,colmena,Colmena
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,Plaza San Martín,LOC,0.9999350309371948,plaza san martín,Plaza San Martín
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,Perú,LOC,0.9994574189186096,perú,Perú
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,Zavalita,PER,0.9991453886032104,zavalita,Santiago Zavala
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,Hotel Crillón,LOC,0.9999241828918457,hotel crillón,Hotel Crillón
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,Perú,LOC,0.9987001419067383,perú,Perú
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,Carlitos,PER,0.9990795850753784,carlitos,Carlitos
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,Miraflores,LOC,0.9999513626098633,miraflores,Miraflores
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,Plaza,LOC,0.950370728969574,plaza,Plaza
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,Norwin,PER,0.9999306201934814,norwin,Norwin
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,Bar Zela,LOC,0.9999077320098877,bar zela,Bar Zela
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,Zavalita,PER,0.999855637550354,zavalita,Santiago Zavala
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,Santiago,PER,0.999618411064148,santiago,Santiago Zavala
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,Norwin,PER,0.9999040365219116,norwin,Norwin
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,Director,PER,0.9996047616004944,director,Director
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,Cristal,MISC,0.999664306640625,cristal,Cristal
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,Orgambide,PER,0.9999268054962158,orgambide,Orgambide
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,Zavalita,PER,0.9997939467430115,zavalita,Santiago Zavala
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,Universidad,ORG,0.9995452761650085,universidad,Universidad
CELC_MVLL,Conversación en La Catedral,Mario Vargas Llosa,1,Zavalita,PER,0.9998037219047546,zavalita,Santiago Zavala
